City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
193,Ligayan,PH,4.6533,119.4706,83.95,45,6.62,very heavy rain
194,Nouadhibou,MR,20.931,-17.0347,68.83,100,10.85,overcast clouds
195,Muros,ES,42.7762,-9.0603,87.67,0,8.14,clear sky
196,Moerai,PF,-22.4333,-151.3333,72.34,21,15.77,light rain
197,Sumbawanga,TZ,-7.9667,31.6167,60.3,9,2.66,clear sky
198,Sayansk,RU,54.1088,102.1648,48.76,100,2.39,overcast clouds
199,Martapura,ID,-3.4167,114.85,73.49,75,3.44,broken clouds
200,Halberstadt,DE,51.9,11.05,68.88,75,16.31,broken clouds
201,Marawi,PH,7.9986,124.2928,65.64,100,3.33,overcast clouds
202,Guerrero Negro,MX,27.9769,-114.0611,69.24,21,15.86,few clouds
203,Banda Aceh,ID,5.5577,95.3222,80.83,97,10.38,overcast clouds
204,Berlevag,NO,70.8578,29.0864,48.6,76,14.43,broken clouds
205,Roald,NO,62.5833,6.1333,53.91,75,20.71,broken clouds
206,Tanout,NE,14.9709,8.8879,101.12,85,10.16,overcast clouds
207,Sitka,US,57.0531,-135.33,53.49,40,4.61,scattered clouds
208,Koluszki,PL,51.7387,19.8199,61.72,100,8.14,moderate rain
209,Sigli,ID,5.3848,95.9609,79.75,97,5.08,overcast clouds
210,Tromso,NO,69.6496,18.957,50.02,75,4.61,light rain
211,Omsukchan,RU,62.5333,155.8,38.17,0,3.24,clear sky
212,Pangai,TO,-19.8,-174.35,75.76,42,23.02,scattered clouds
213,Severo-Kurilsk,RU,50.6789,156.125,48.13,100,2.3,overcast clouds
214,Bathsheba,BB,13.2167,-59.5167,86.61,20,17.27,few clouds
215,Najran,SA,17.4924,44.1277,90.25,50,8.41,scattered clouds
216,Sonoita,MX,31.85,-112.8333,99.54,3,0.98,clear sky
217,Mazatlan,MX,23.2167,-106.4167,90.01,20,3.0,few clouds
218,Cherskiy,RU,68.75,161.3,42.64,0,0.11,clear sky
219,Saldanha,ZA,-33.0117,17.9442,59.88,66,8.14,broken clouds
220,Coahuayana,MX,18.7333,-103.6833,87.28,70,5.57,broken clouds
221,Ossora,RU,59.2353,163.0719,44.29,72,6.35,broken clouds
222,Provideniya,RU,64.3833,-173.3,38.7,100,12.26,overcast clouds
223,Thompson,CA,55.7435,-97.8558,50.16,90,11.5,mist
224,Luderitz,NA,-26.6481,15.1594,59.02,100,9.62,overcast clouds
225,Jurm,AF,36.8648,70.8342,70.97,57,4.21,broken clouds
226,Paita,PE,-5.0892,-81.1144,77.56,7,11.23,clear sky
227,Dauphin,CA,51.1494,-100.0502,71.74,1,27.63,clear sky
228,Garmsar,IR,35.2182,52.3409,96.73,0,5.06,clear sky
229,Riyadh,SA,24.6877,46.7219,102.25,0,17.27,dust
230,Kerrville,US,30.0474,-99.1403,88.61,1,1.01,clear sky
231,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,90,4.47,mist
232,Nizwa,OM,22.9333,57.5333,99.82,78,5.53,broken clouds
233,Rockhampton,AU,-23.3833,150.5,49.89,75,6.91,broken clouds
234,Bentiu,SS,9.2333,29.8333,88.2,100,3.85,overcast clouds
235,Essenbach,DE,48.6167,12.2167,76.68,100,12.82,overcast clouds
236,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,75,14.97,broken clouds
237,Ahipara,NZ,-35.1667,173.1667,58.48,100,9.35,overcast clouds
238,San Cristobal,VE,7.7669,-72.225,80.78,54,8.81,broken clouds
239,Maningrida,AU,-12.0667,134.2667,69.42,20,8.48,few clouds
240,Ruthen,DE,51.4909,8.436,68.52,0,13.8,clear sky
241,Ningxiang,CN,37.34,111.2052,67.69,14,7.05,few clouds
242,Mindelo,CV,16.8901,-24.9804,80.15,52,10.36,broken clouds
243,Morgan City,US,29.6994,-91.2068,91.99,90,6.91,overcast clouds
244,Adrar,MR,20.5022,-10.0711,110.53,42,7.43,scattered clouds
245,Upington,ZA,-28.4478,21.2561,66.58,0,4.61,clear sky
246,Alice Springs,AU,-23.7,133.8833,45.95,1,1.14,clear sky
247,Lebu,CL,-37.6167,-73.65,59.63,95,6.38,overcast clouds
248,Shafranovo,RU,53.9667,54.7667,58.44,99,5.37,overcast clouds
249,Kieta,PG,-6.2167,155.6333,77.14,10,6.89,clear sky
250,Fort Atkinson,US,42.9289,-88.8371,88.03,49,12.1,scattered clouds
251,Talcahuano,CL,-36.7167,-73.1167,55.08,90,4.61,overcast clouds
252,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,75,5.75,broken clouds
253,Kabale,UG,-1.2486,29.9899,59.41,62,3.11,broken clouds
254,Viedma,AR,-40.8135,-62.9967,69.35,75,13.42,broken clouds
255,Sinop,TR,41.7711,34.8709,61.23,93,2.33,overcast clouds
256,Namibe,AO,-15.1961,12.1522,73.53,9,4.09,clear sky
257,Kaeo,NZ,-35.1,173.7833,59.32,99,8.28,overcast clouds
258,Mola Di Bari,IT,41.0609,17.0873,81.21,0,9.66,clear sky
259,Saint George,US,37.1041,-113.5841,94.35,1,1.01,clear sky
260,Zhuanghe,CN,39.7008,122.9911,62.58,15,1.68,few clouds
261,Ulaanbaatar,MN,47.9077,106.8832,66.33,40,2.24,scattered clouds
262,Saint-Philippe,RE,-21.3585,55.7679,72.95,62,13.42,broken clouds
263,Bucak,TR,37.4592,30.595,72.12,70,3.18,broken clouds
264,Rjukan,NO,59.8789,8.5941,64.65,8,20.85,clear sky
265,Bandarbeyla,SO,9.4942,50.8122,79.7,81,31.94,broken clouds
266,Ambanja,MG,-13.6833,48.45,75.2,53,1.68,broken clouds
267,Pimentel,PE,-6.8367,-79.9342,71.89,90,9.22,overcast clouds
268,Jacareacanga,BR,-6.2222,-57.7528,95.18,8,3.38,clear sky
269,Oranjemund,NA,-28.55,16.4333,61.99,100,5.93,overcast clouds
270,Nuuk,GL,64.1835,-51.7216,43.41,75,10.36,broken clouds
271,Meulaboh,ID,4.1363,96.1285,77.23,100,4.83,overcast clouds
272,Dingle,PH,10.9995,122.6711,77.07,100,2.17,light rain
273,Butembo,CD,0.15,29.2833,63.99,92,1.05,overcast clouds
274,Bredasdorp,ZA,-34.5322,20.0403,54.28,48,2.8,scattered clouds
275,Tanabe,JP,33.7333,135.3667,71.92,100,1.01,moderate rain
276,Pochutla,MX,15.7432,-96.4661,83.82,82,3.87,broken clouds
277,Grindavik,IS,63.8424,-22.4338,54.55,0,16.11,clear sky
278,Assare,BR,-6.8744,-39.875,95.67,42,5.44,scattered clouds
279,Shahpura,IN,27.3833,75.9667,92.53,0,3.29,clear sky
280,Lumberton,US,34.6182,-79.0086,85.82,85,9.31,overcast clouds
281,College,US,64.8569,-147.8028,58.89,40,0.0,scattered clouds
282,Linares,CL,-35.85,-71.6,62.76,9,4.14,clear sky
283,Varhaug,NO,58.6147,5.6457,55.47,29,24.49,scattered clouds
284,Sept-Iles,CA,50.2001,-66.3821,66.72,75,8.99,broken clouds
285,Perth,AU,-31.9333,115.8333,56.05,0,5.75,mist
286,Half Moon Bay,US,37.4636,-122.4286,75.47,1,10.36,clear sky
287,Tomari,RU,47.7658,142.0683,50.52,100,8.79,overcast clouds
288,Kangaatsiaq,GL,68.3065,-53.4641,36.95,21,6.02,few clouds
289,Chokurdakh,RU,70.6333,147.9167,55.65,100,7.67,overcast clouds
290,Achutupo,PA,9.2,-77.9833,83.53,42,5.17,scattered clouds
291,Lagoa,PT,39.05,-27.9833,67.5,0,0.54,clear sky
292,Along,IN,28.1667,94.7667,75.43,53,1.52,broken clouds
293,Pisco,PE,-13.7,-76.2167,66.25,90,8.05,overcast clouds
294,Port Lincoln,AU,-34.7333,135.8667,55.76,100,7.52,overcast clouds
295,Tayu,ID,-6.5397,111.0518,79.39,84,7.61,broken clouds
296,Mucurapo,TT,10.6667,-61.5333,90.01,78,9.66,broken clouds
297,Margherita,IN,27.2833,95.6833,77.13,73,3.0,broken clouds
298,Panaci,RO,47.2667,25.3833,61.92,32,3.69,scattered clouds
299,Reconquista,AR,-29.15,-59.65,69.93,1,8.43,clear sky
300,Bad Sooden-Allendorf,DE,51.2833,9.9833,71.15,93,8.99,overcast clouds
301,Tairua,NZ,-37.0167,175.85,54.09,100,6.67,overcast clouds
302,Amuntai,ID,-2.4177,115.2494,73.29,82,1.01,broken clouds
303,Kenscoff,HT,18.4506,-72.2869,75.34,75,10.36,broken clouds
304,Mandalgovi,MN,45.7625,106.2708,63.64,100,22.28,overcast clouds
305,Champerico,GT,14.3,-91.9167,90.95,100,11.81,overcast clouds
306,Longyearbyen,SJ,78.2186,15.6401,39.04,75,8.05,broken clouds
307,Jiaonan,CN,35.8786,119.9753,66.22,19,7.38,few clouds
308,Mahebourg,MU,-20.4081,57.7,75.49,75,12.66,broken clouds
309,Ellisras,ZA,-23.6649,27.7443,61.63,0,2.91,clear sky
310,Dubno,UA,50.4169,25.7343,66.16,87,7.94,overcast clouds
311,Mattru,SL,7.6244,-11.8332,82.49,99,1.74,moderate rain
312,Westport,US,41.1415,-73.3579,68.77,90,1.01,overcast clouds
313,Mikhaylovka,RU,50.06,43.2379,66.72,76,6.91,broken clouds
314,Sao Filipe,CV,14.8961,-24.4956,76.53,92,5.61,overcast clouds
315,Te Anau,NZ,-45.4167,167.7167,53.2,100,0.85,moderate rain
316,Barcelos,PT,41.5388,-8.6151,83.68,17,7.09,few clouds
317,Nakhon Thai,TH,17.1006,100.8374,75.02,100,2.75,moderate rain
318,Coquimbo,CL,-29.9533,-71.3436,56.93,90,4.61,overcast clouds
319,Nacala,MZ,-14.5428,40.6728,72.34,7,10.94,clear sky
320,Fagersta,SE,60.0042,15.7932,66.65,93,7.11,overcast clouds
321,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.44,0,8.23,clear sky
322,Abu Dhabi,AE,24.4667,54.3667,91.42,0,6.91,clear sky
323,Inhambane,MZ,-23.865,35.3833,67.75,19,5.66,few clouds
324,Umarkot,PK,25.3616,69.7362,89.94,0,23.67,clear sky
325,Masaka,UG,-0.3338,31.7341,65.12,37,5.01,scattered clouds
326,Cabo San Lucas,MX,22.8909,-109.9124,95.5,1,16.11,clear sky
327,Malgrat De Mar,ES,41.6466,2.7414,91.15,12,7.0,few clouds
328,Labuhan,ID,-6.8844,112.2051,79.25,5,7.52,clear sky
329,Sola,VU,-13.8833,167.55,79.5,88,20.58,overcast clouds
330,Zaysan,KZ,47.4667,84.8667,54.05,93,6.55,overcast clouds
331,Gat,IL,31.61,34.7642,87.4,1,13.67,clear sky
332,Smirnykh,RU,49.75,142.8333,57.2,100,0.69,overcast clouds
333,Teknaf,BD,20.8624,92.3058,80.22,100,13.02,overcast clouds
334,Karratha,AU,-20.7377,116.8463,74.34,94,7.45,overcast clouds
335,Armidale,AU,-30.5167,151.65,40.8,62,4.74,broken clouds
336,Beringovskiy,RU,63.05,179.3167,36.48,100,4.5,light rain
337,Cape Coast,GH,5.1053,-1.2466,83.1,83,12.15,broken clouds
338,Sal Rei,CV,16.1833,-22.9167,86.56,0,6.91,clear sky
339,Necochea,AR,-38.5473,-58.7368,74.03,18,15.37,few clouds
340,Dondo,MZ,-19.6094,34.7431,69.31,5,4.18,clear sky
341,Saurimo,AO,-9.6608,20.3916,68.56,3,5.61,clear sky
342,Odweyne,SO,9.4092,45.064,81.07,100,19.33,overcast clouds
343,Hobyo,SO,5.3505,48.5268,78.62,100,27.04,overcast clouds
344,Namatanai,PG,-3.6667,152.4333,79.29,13,6.42,light rain
345,Banikoara,BJ,11.2985,2.4386,94.1,58,1.95,broken clouds
346,Guiratinga,BR,-16.3494,-53.7583,87.55,61,1.57,broken clouds
347,Chara,RU,56.9064,118.2631,43.61,100,2.15,overcast clouds
348,Puerto Escondido,MX,15.85,-97.0667,81.43,90,0.0,overcast clouds
349,Mehamn,NO,71.0357,27.8492,49.21,75,15.59,broken clouds
350,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,75,13.8,broken clouds
351,Dharchula,IN,29.85,80.5333,71.24,62,2.77,broken clouds
352,Paciran,ID,-6.8767,112.3761,79.92,3,8.08,clear sky
353,Awjilah,LY,29.1081,21.2869,87.24,0,12.55,clear sky
354,Puerto Del Rosario,ES,28.5004,-13.8627,74.88,0,17.27,clear sky
355,Flinders,AU,-34.5833,150.8552,56.17,1,11.01,light rain
356,Kavieng,PG,-2.5744,150.7967,81.91,1,13.33,clear sky
357,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.27,91,2.13,overcast clouds
358,Raudeberg,NO,61.9875,5.1352,50.86,87,17.6,overcast clouds
359,Litovko,RU,49.2361,135.1742,55.27,80,5.53,broken clouds
360,Belmonte,BR,-15.8631,-38.8828,82.9,100,5.68,overcast clouds
